Wilayah,Tingkat Pengangguran Terbuka (TPT),,,,,,,,
,2017,2018,2019,2020,2021,2022,2023,2024,2025
Lampung Barat,0.96,2.74,1.66,2.13,2.83,2.1,2.25,2.09,2.11
Tanggamus,5.08,2.21,2.96,2.96,2.93,3.7,3.35,3.19,3.44
Lampung Selatan,4.8,4.49,4.68,5.19,5.27,5.31,4.95,4.84,4.67
Lampung Timur,3.89,3.8,2.87,2.64,3.05,3.3,3.09,3.02,3.18
Lampung Tengah,3.08,2.51,2.61,4.22,4.31,3.56,3.25,3.33,3.27
Lampung Utara,5.62,4.83,5.11,5.34,6.14,6.15,5.73,5.85,5.78
Way Kanan,2.88,4.42,3.59,3.56,3.36,3.28,3.07,3.27,3.51
Tulang Bawang,3.47,3.52,4.01,4.84,4.1,3.52,3.46,3.23,3.19
Pesawaran,5.73,4.63,4.41,4.64,4.19,5.06,4.76,4.36,4.17
Pringsewu,4.63,4.13,4.92,5.77,4.85,4.77,4.66,4.39,4.65
Mesuji,0.65,3.76,3.61,3.71,3.42,3.22,2.46,2.85,2.68
Tulang Bawang Barat,1.86,2.95,3.57,3.46,3.35,4.12,3.89,4.12,3.71
Pesisir Barat,2.71,1.87,3.25,3.41,3.08,3.73,3.47,3.04,3.27
Bandar Lampung,8.1,7.27,7.15,8.79,8.85,7.91,7.43,7.44,7.53
Metro,4.64,5.79,5.12,5.4,5,4.34,3.6,3.71,3.54
