Wilayah,Indeks Pembangunan Manusia (IPM UHH SP2010),,,,,,,,,
,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Lampung Barat,64.54,65.45,66.06,66.74,67.5,67.8,67.9,68.39,69.11,69.84
Tanggamus,63.66,64.41,64.94,65.67,66.37,66.42,66.65,67.22,67.86,68.52
Lampung Selatan,65.22,66.19,66.95,67.68,68.22,68.36,68.49,69,69.63,70.28
Lampung Timur,67.1,67.88,68.05,69.04,69.34,69.37,69.66,70.58,71.21,71.84
Lampung Tengah,67.61,68.33,68.95,69.73,70.04,70.16,70.23,70.8,71.6,72.37
Lampung Utara,65.2,65.95,66.58,67.17,67.63,67.67,67.89,68.33,68.95,69.62
Way Kanan,65.18,65.74,65.97,66.63,67.19,67.44,67.57,68.04,68.63,69.31
Tulang Bawang,66.08,66.74,67.07,67.7,68.23,68.52,68.73,69.53,70.02,70.66
Pesawaran,62.7,63.47,64.43,64.97,65.75,65.79,66.14,66.7,67.67,68.52
Pringsewu,67.55,68.26,68.61,69.42,69.97,70.3,70.45,70.98,71.61,72.29
Mesuji,59.79,60.72,61.87,62.88,63.52,63.63,64.04,64.94,65.64,66.46
Tulang Bawang Barat,63.01,63.77,64.58,65.3,65.93,65.97,66.22,67.13,67.81,68.46
Pesisir Barat,60.55,61.5,62.2,62.96,63.79,63.91,64.3,65.14,66,66.73
Bandar Lampung,74.81,75.34,75.98,76.63,77.33,77.44,77.58,78.01,78.56,79.19
Metro,75.1,75.45,75.87,76.22,76.77,77.19,77.49,77.89,78.36,78.93
