Wilayah,"Padi (Luas Panen, Produksi, dan Produktivitas)",,,,,,,,,,,,,
,Luas Panen (Ha),,,,,,,Produksi (Ton),,,,,,
,2018,2019,2020,2021,2022,2023,2024,2018,2019,2020,2021,2022,2023,2024
Lampung Barat,15536.23,13631.86,13400.6,12303.02,13032.88,13513.57,13405.25,81355,59142.33,57093.19,60665.89,62802.09,70922.62,63045.97
Tanggamus,26666.26,24437.96,26905.17,22572.24,22563.4,25430.89,23943.52,155711.37,121750.98,148158.63,123414.48,128674.92,147163.03,135017.18
Lampung Selatan,48729.28,44070.05,54761.95,51178.22,56393.41,52334.35,57884.73,268374.79,265878.24,311668.77,330325.73,339941.87,294548.78,317834.2
Lampung Timur,99903.34,80699.48,94847.31,83568.7,91718.06,94070.36,93339.53,441855.33,355113.03,459300.61,397374.49,449294.9,475668.41,482716.29
Lampung Tengah,114756.51,98254.4,113890.72,100290.55,101612.69,108129.91,107704.78,525372.11,455234.05,599111.2,489447.65,566601.47,608009.47,614016.7
Lampung Utara,19277.16,15080.38,17133.37,16940.92,13705.47,17834.92,15092.55,83364.18,61822.68,75751.91,74260.22,63452.76,72390.72,63178.9
Way Kanan,19121.79,17586.18,17766.75,17403.59,21224.06,18720.83,19986.05,95255.86,59419.44,78824.55,82234.55,100985.27,84631.42,95711.27
Tulang Bawang,43681.36,51559.24,55881.56,52601.29,65510.84,72025.12,75344.09,194593.04,217894.34,215987.34,232508.52,268323.74,319193.91,375139.71
Pesawaran,24396.52,20564.75,22068.41,21260.36,23359.64,23009.98,21910.12,134478.34,111281.36,113206.52,113402.71,130558.89,121692.61,115934.28
Pringsewu,24838.07,21439.28,23041.49,21574.65,23489.05,21752.76,22651.01,141246.17,112699.15,130867.36,122185.57,137096.53,128637.72,143902.58
Mesuji,44556.79,56247.52,78479.45,65020.17,57654.9,56726.11,56395.22,228265.9,246840.77,325509.23,336767.8,296934.72,296526.82,271572.19
Tulang Bawang Barat,11543.67,6071.41,6360.79,6994.69,10254.68,9942.54,7282.52,43391.57,30670.11,30361.02,33802.34,50700.33,45954.48,29538.83
Pesisir Barat,13208.91,11038.55,12808.37,12215.56,11921.43,10860.16,11090.78,67393.77,50951.25,60273.6,62295.74,60772.93,60121.34,51619.38
Bandar Lampung,496.26,423.74,523.07,470.07,491.63,477.44,530.53,2794.74,2318.24,2506.64,2561.57,2721.97,2444.11,2716.27
Metro,5228.78,2998.62,7280.04,5179.2,5323.92,5279.15,5154.43,25189.74,13073.36,41669.07,24205.52,29297.35,29992.75,29403.78
