Wilayah,Pengeluaran per Kapita disesuaikan (ribu rupiah/orang/tahun),,,,,
,2020,2021,2022,2023,2024,2025
Lampung Barat,9929,9969,10175,10593,10965,11612
Tanggamus,9250,9266,9557,10038,10524,10888
Lampung Selatan,9875,9931,10266,10617,11133,11540
Lampung Timur,9983,10026,10403,10812,11262,11670
Lampung Tengah,11219,11259,11710,12195,12595,12975
Lampung Utara,8733,8737,8951,9374,9837,10160
Way Kanan,9102,9173,9450,9887,10439,10831
Tulang Bawang,10683,10735,11114,11552,12122,12513
Pesawaran,7892,7934,8192,8633,9190,9638
Pringsewu,10262,10302,10577,11016,11543,11950
Mesuji,7894,7980,8466,8947,9454,9843
Tulang Bawang Barat,8395,8422,8737,9162,9646,10032
Pesisir Barat,8457,8533,8663,9102,9550,9879
Bandar Lampung,12197,12247,12593,13092,13667,14270
Metro,11906,11916,12233,12618,13092,13380
