Wilayah,Pengeluaran per Kapita disesuaikan (ribu rupiah/orang/tahun),,,,,,,,,
,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Lampung Barat,8801,9106,9517,9741,9970,9929,9969,10175,10593,10965
Tanggamus,7961,8483,8661,9107,9294,9250,9266,9557,10038,10524
Lampung Selatan,8746,9189,9310,9781,9978,9875,9931,10266,10617,11133
Lampung Timur,9194,9416,9453,9908,10028,9983,10026,10403,10812,11262
Lampung Tengah,10298,10674,10820,11052,11154,11219,11259,11710,12195,12595
Lampung Utara,7729,8212,8369,8559,8779,8733,8737,8951,9374,9837
Way Kanan,8313,8411,8522,8979,9292,9102,9173,9450,9887,10439
Tulang Bawang,9893,10034,10098,10553,10797,10683,10735,11114,11552,12122
Pesawaran,6744,7055,7449,7724,8059,7892,7934,8192,8633,9190
Pringsewu,9020,9533,9731,10190,10289,10262,10302,10577,11016,11543
Mesuji,6836,7099,7319,7774,8144,7894,7980,8466,8947,9454
Tulang Bawang Barat,7332,7450,7747,8205,8532,8395,8422,8737,9162,9646
Pesisir Barat,7251,7616,7890,8355,8652,8457,8533,8663,9102,9550
Bandar Lampung,11090,11266,11699,11952,12255,12197,12247,12593,13092,13667
Metro,10707,11007,11397,11636,12017,11906,11916,12233,12618,13092
