Wilayah,Persentase Penduduk Miskin (persen),,,,,,,,
,2017,2018,2019,2020,2021,2022,2023,2024,2025
Lampung Barat,14.32,13.54,12.92,12.52,12.82,11.71,11.17,10.68,9.93
Tanggamus,13.25,12.48,12.05,11.68,11.81,10.98,10.52,10.28,10.1
Lampung Selatan,15.16,14.86,14.31,14.08,14.19,13.14,12.79,12.57,12.05
Lampung Timur,16.35,15.76,15.24,14.62,15.08,13.98,13.8,13.19,12.15
Lampung Tengah,12.9,12.62,12.03,11.82,11.99,10.96,10.65,10.37,9.59
Lampung Utara,21.55,20.85,19.9,19.3,19.63,18.41,17.17,16.92,15.78
Way Kanan,14.06,13.52,13.07,12.9,13.09,11.76,11.02,10.43,9.36
Tulang Bawang,10.09,9.7,9.35,9.33,9.67,8.42,8.04,7.88,7.54
Pesawaran,16.48,15.97,15.19,14.76,15.11,13.85,12.89,11.86,10.93
Pringsewu,11.3,10.5,10.15,9.97,10.11,9.34,9.14,8.32,7.6
Mesuji,7.66,7.55,7.47,7.33,7.54,6.84,6.73,6.31,5.92
Tulang Bawang Barat,8.11,8.1,7.75,7.39,8.32,7.44,7.25,7.22,6.72
Pesisir Barat,15.61,14.98,14.48,14.29,14.81,13.84,13.49,12.64,12.13
Bandar Lampung,9.94,9.04,8.71,8.81,9.11,8.21,7.77,7.37,6.95
Metro,9.89,9.14,8.68,8.47,8.93,7.87,7.28,6.78,6.44
