Wilayah,Umur Harapan Hidup Saat Lahir (UHH) (LF SP2020) (tahun),,,,,
,2020,2021,2022,2023,2024,2025
Lampung Barat,73.42,73.47,73.63,73.78,73.96,74.24
Tanggamus,73.44,73.51,73.69,73.87,74.08,74.39
Lampung Selatan,73.79,73.85,74.03,74.22,74.46,74.84
Lampung Timur,73.52,73.56,73.75,73.95,74.19,74.54
Lampung Tengah,73.79,73.82,73.99,74.17,74.38,74.7
Lampung Utara,73.48,73.54,73.73,73.91,74.12,74.41
Way Kanan,73.68,73.73,73.93,74.11,74.31,74.61
Tulang Bawang,73.44,73.47,73.64,73.81,74.02,74.32
Pesawaran,73.44,73.5,73.65,73.8,74,74.3
Pringsewu,73.9,73.98,74.15,74.33,74.56,74.92
Mesuji,73.35,73.4,73.56,73.71,73.9,74.16
Tulang Bawang Barat,73.59,73.62,73.83,74.02,74.23,74.55
Pesisir Barat,73.39,73.46,73.61,73.75,73.93,74.21
Bandar Lampung,74.1,74.14,74.33,74.53,74.79,75.21
Metro,74.7,74.73,74.92,75.14,75.43,75.86
,,,,,,
Catatan,Catatan : - Metode Baru ,- Dihitung dengan menggunakan data dasar hasil LF SP2020 ,Sumber: BPS Provinsi Lampung,,,
